dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
places365,accuracy_epoch_5,nn_max_depth,1089,0.141501,0.024876,-0.048203,0.111881,0.048203,0.038826729729729725,True,0.1389489838709677,False
places365,accuracy_epoch_5,prm__momentum,1092,0.1344,0.288557,0.038862,0.199416,0.038862,0.37659133898305086,False,0.23383297461928937,False
places365,accuracy_epoch_5,prm__batch,1092,0.132178,0.114428,0.084744,0.005075,0.084744,0.1621648343558282,False,0.007467038216560509,True
places365,accuracy_epoch_5,nn_has_attention,1089,0.116029,0.084577,-0.118855,8.4e-05,0.118855,0.12287601886792453,False,0.00014163503649635036,True
places365,accuracy_epoch_5,nn_has_residual,1089,0.110984,0.706468,0.042452,0.161528,0.042452,0.8242126666666667,False,0.19433837499999998,False
places365,accuracy_epoch_50,nn_total_layers,87,0.401979,0.004975,0.352367,0.000816,0.352367,0.008512777777777779,True,0.0012736216216216215,True
places365,accuracy_epoch_50,prm__lr,88,0.396372,0.004975,0.376721,0.000297,0.376721,0.008512777777777779,True,0.00047976923076923077,True
places365,accuracy_epoch_50,nn_flops,87,0.382047,0.00995,0.278503,0.009001,0.278503,0.016301063829787237,True,0.01299519375,True
places365,accuracy_epoch_50,nn_dropout_count,87,0.357471,0.00995,0.224134,0.03689,0.224134,0.016301063829787237,True,0.04897465517241379,True
places365,accuracy_epoch_50,prm__momentum,88,0.313225,0.109453,-0.040911,0.705097,0.040911,0.15607187037037035,False,0.7471440688073395,False
places365,accuracy_epoch_50,nn_has_residual,87,0.282001,0.149254,0.326433,0.002031,0.326433,0.2064531377245509,False,0.003026845161290322,True
places365,accuracy_epoch_50,prm__batch,88,0.2686,0.233831,0.216277,0.042984,0.216277,0.31043081034482756,False,0.0564165,False
